24-Hour Passes Purchased (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm)	7-Day Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),Annual Member Sign-Ups (midnight to 11:59 pm),Cumulative trips (since launch):,Date,Miles traveled to date:,Miles traveled today (midnight to 11:59 pm),Total Annual Members,Total Annual Memberships Sold,Trips over the past 24-hours (midnight to 11:59pm)
2411.0,,109.0,228,7692201,4/13/2014,"13,265,459",65.74600000000001,,102129.0,29521
993.0,,114.0,266,7723933,4/14/2014,"13,322,766",57.306999999999995,,102357.0,31732
73.0,,19.0,128,7735303,4/15/2014,"13,337,404",14.639000000000001,,102623.0,11370
279.0,,50.0,132,7757016,4/16/2014,"13,368,832",31.427,,102751.0,21713
470.0,,53.0,113,7781206,4/17/2014,"13,405,474",36.641999999999996,,102883.0,24190
628.0,,60.0,98,7803615,4/18/2014,"13,439,319",33.846,,102996.0,22409
2666.0,,99.0,118,7830156,4/19/2014,"13,498,781",59.461000000000006,,103094.0,26541
1639.0,,84.0,154,7850278,4/20/2014,"13,539,595",40.814,,103212.0,20122
839.0,,105.0,276,7879896,4/21/2014,"13,590,165",50.57,,103366.0,29618
560.0,,58.0,169,7909476,4/22/2014,"13,635,978",45.813,,103642.0,29580
358.0,,68.0,173,7938817,4/23/2014,"13,680,243",44.266000000000005,,103811.0,29341
646.0,,95.0,160,7969332,4/24/2014,"13,728,573",48.32899999999999,,103984.0,30515
767.0,,56.0,126,7999631,4/25/2014,"13,778,488",49.915,,104144.0,30299
1720.0,,57.0,118,8021416,4/26/2014,"13,821,247",42.75899999999999,,104270.0,21785
1616.0,,84.0,156,8045509,4/27/2014,"13,867,436",46.188,,104388.0,24093
744.0,,94.0,176,8076788,4/28/2014,"13,918,604",51.168,,104544.0,31279
160.0,,24.0,120,8096791,4/29/2014,"13,945,444",26.84,,104720.0,20003
15.0,,0.0,63,8099884,4/30/2014,"13,949,016",3.572,,104840.0,3093
780.0,,94.0,138,8129332,5/1/2014,"14,000,335",51.32,,104903.0,29448
1192.0,,144.0,192,8164922,5/2/2014,"14,060,849",60.513999999999996,,105041.0,35590
2440.0,,150.0,152,8193176,5/3/2014,"14,122,799",61.95,,105233.0,28254
1479.0,,77.0,159,8216626,5/4/2014,"14,166,724",43.926,,105385.0,23450
842.0,,127.0,219,8250332,5/5/2014,"14,225,628",58.903999999999996,,105544.0,33706
836.0,,100.0,197,8286309,5/6/2014,"14,288,083",62.455,,105763.0,35977
799.0,,91.0,195,8322519,5/7/2014,"14,346,700",58.617,,105960.0,36210
303.0,,20.0,105,8342037,5/8/2014,"14,375,600",28.9,,106155.0,19518
537.0,,59.0,111,8367027,5/9/2014,"14,412,718",37.118,,106260.0,24990
1617.0,,74.0,133,8391206,5/10/2014,"14,457,663",44.945,,106371.0,24179
2768.0,,145.0,161,8422757,5/11/2014,"14,529,250",71.587,,106504.0,31551
935.0,,124.0,246,8457966,5/12/2014,"14,590,714",61.465,,106665.0,35209
737.0,,125.0,204,8494247,5/13/2014,"14,649,918",59.20399999999999,,106911.0,36281
586.0,,75.0,164,8527334,5/14/2014,"14,701,982",52.063,,107115.0,33087
566.0,,76.0,129,8556181,5/15/2014,"14,747,329",45.347,,107279.0,28847
218.0,,22.0,114,8575742,5/16/2014,"14,774,993",27.664,,107408.0,19561
2968.0,,141.0,130,8608883,5/17/2014,"14,846,365",71.372,,107522.0,33141
2476.0,,124.0,154,8638909,5/18/2014,"14,908,341",61.977,,107652.0,30026
914.0,,124.0,226,8673672,5/19/2014,"14,965,008",56.666000000000004,,107806.0,34763
1145.0,,141.0,194,8712600,5/20/2014,"15,031,586",66.578,,108032.0,38928
897.0,,115.0,146,8750093,5/21/2014,"15,092,655",61.068999999999996,,108226.0,37493
470.0,,40.0,121,8776846,5/22/2014,"15,132,305",39.65,,108372.0,26753
793.0,,84.0,108,8803741,5/23/2014,"15,174,433",42.128,,108493.0,26895
1532.0,,105.0,109,8822244,5/24/2014,"15,210,238",35.805,,108601.0,18503
3535.0,,144.0,115,8850510,5/25/2014,"15,279,036",68.798,,108710.0,28266
3095.0,,143.0,169,8880329,5/26/2014,"15,349,748",70.712,,108825.0,29819
1196.0,,162.0,253,8916494,5/27/2014,"15,413,199",63.451,,108994.0,36165
533.0,,79.0,164,8949160,5/28/2014,"15,462,869",49.67,,109247.0,32666
930.0,,108.0,144,8986344,5/29/2014,"15,523,091",60.222,,109411.0,37184
1191.0,,118.0,167,9024219,5/30/2014,"15,588,331",65.24,,109555.0,37875
2305.0,,129.0,139,9054878,5/31/2014,"15,650,307",61.976000000000006,,109722.0,30659
2912.0,,168.0,212,9089475,6/1/2014,"15,725,901",75.594,,109861.0,34597
1099.0,,150.0,277,9127618,6/2/2014,"15,794,087",68.186,,110073.0,38143
702.0,,119.0,238,9160122,6/3/2014,"15,846,854",52.766999999999996,,110350.0,32504
950.0,,135.0,170,9199869,6/4/2014,"15,913,807",66.953,,110588.0,39747
692.0,,81.0,146,9227034,6/5/2014,"15,958,521",44.714,,110758.0,27165
1668.0,,128.0,164,9268325,6/6/2014,"16,031,408",72.887,,110904.0,41291
2888.0,,165.0,116,9302742,6/7/2014,"16,105,957",74.54899999999999,,111068.0,34417
2704.0,,117.0,162,9336174,6/8/2014,"16,179,153",73.196,,111184.0,33432
394.0,,43.0,127,9356719,6/9/2014,"16,211,405",32.251999999999995,,111346.0,20545
783.0,,117.0,167,9393678,6/10/2014,"16,271,321",59.916000000000004,,111473.0,36959
691.0,,105.0,121,9427487,6/11/2014,"16,326,514",55.193000000000005,,111640.0,33809
644.0,,78.0,134,9459673,6/12/2014,"16,375,786",49.272,,111761.0,32186
565.0,,40.0,106,9479909,6/13/2014,"16,406,932",31.146,,111895.0,20236
2442.0,,129.0,106,9511341,6/14/2014,"16,470,762",63.83,,112001.0,31432
2397.0,,136.0,142,9542370,6/15/2014,"16,535,902",65.14,,112107.0,31029
1080.0,,153.0,200,9580938,6/16/2014,"16,602,866",66.964,,112249.0,38568
978.0,,124.0,173,9619901,6/17/2014,"16,669,655",66.789,,112449.0,38963
905.0,,139.0,161,9658885,6/18/2014,"16,733,960",64.305,,112622.0,38984
812.0,,92.0,113,9694212,6/19/2014,"16,792,620",58.66,,112783.0,35327
1439.0,,117.0,164,9733039,6/20/2014,"16,871,281",78.661,,112896.0,38827
2951.0,,149.0,94,9766364,6/21/2014,"16,940,995",69.714,,113060.0,33325
2532.0,,107.0,135,9798664,6/22/2014,"17,006,031",65.036,,113154.0,32300
1024.0,,167.0,193,9835006,6/23/2014,"17,067,560",61.528999999999996,,113289.0,36342
939.0,,136.0,173,9874892,6/24/2014,"17,134,164",66.604,,113482.0,39886
868.0,,137.0,129,9912927,6/25/2014,"17,194,927",60.763000000000005,,113655.0,38035
1051.0,,109.0,121,9951537,6/26/2014,"17,258,695",63.768,,113784.0,38610
1573.0,,147.0,115,9991234,6/27/2014,"17,329,597",70.902,,113905.0,39697
2679.0,,125.0,122,10022918,6/28/2014,"17,394,672",65.075,,114020.0,31684
2450.0,,125.0,118,10053702,6/29/2014,"17,459,378",64.706,,114142.0,30784
1044.0,,120.0,174,10090556,6/30/2014,"17,521,295",61.917,,114260.0,36854
